_id,link,comp_name,Comment,h_s_length,addresses,telephone_numbers,social_media_links,emails
5eb63aff81de1c4846fd91ab,https://www.careercake.com/,Careercake,"UK website, lists US addresses/TP etc",275,[],[],"['https://www.facebook.com/sharer/sharer.php?u=https://www.careercake.com/blog/manage-interview-nerves/', 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.careercake.com/blog/tell-interviewer-current-salary/&title=%26%238216%3BShould+I+tell+the+interviewer+my+current+salary%3F%26%238217%3B&summary=%26%238216%3BHi+Aimee%2C+I+have+an+interview+coming+up+for+a+job+I+really+want.+When+I+applied+for+the+role+there+was+a+salary+range+and+my+current+salary+was+bang+in+the+middle.+I+want+the+job+but+I+also+really+want+to+increase+my+salary.+Should+the+question+come+up+in+the+interview+%5B%26hellip%3B%5D&source=LinkedIn', 'https://twitter.com/home?status=https://www.careercake.com/blog/100-job-rejections/', 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.careercake.com/blog/3-difficult-employability-lessons-i-learned-university/&title=3+difficult+employability+lessons+I+learned+from+university&summary=With+competition+for+graduate+jobs+being+incredibly+tough%2C+and+an+increased+emphasis+of+what+you+get+for+your+cash+from+your+uni+experience+%E2%80%93+graduate+employability+is%2C+and+will+always+be%2C+a+hot+topic.+Yet%2C+not+everyone+has+the+option+of+going+home+after+finishing+university%2C+and+drawing+funds+from+the+%26%238216%3Bbank+of+Mum+and+%5B%26hellip%3B%5D&source=LinkedIn', 'https://twitter.com/home?status=https://www.careercake.com/blog/contentupdate2017/', 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.careercake.com/blog/5-takeways-from-the-nue-awards-2018/&title=5+Takeways+from+the+NUEs&summary=Recently+we+attended+the+ninth+NUE+awards%2C+hosted+by+Rate+My+Placement%2C+recognising+the+fantastic+work+carried+out+by+placement+and+careers+teams%2C+commercial+businesses+and+of+course%2C+the+students+themselves.+A+few+of+the+Careercake+team+attended%2C+along+with+Careercake+expert+%28and+all-round+fantastic+person%29+Jacqui+Lloyd+of+Citi+Bank%2C+where+we+got+to+%5B%26hellip%3B%5D&source=LinkedIn', 'https://si-lk.facebook.com/login.php?skip_api_login=1&api_key=134231660320506&kid_directed_site=0&app_id=134231660320506&signed_next=1&next=https%3A%2F%2Fwww.facebook.com%2Fv2.8%2Fdialog%2Foauth%3Fauth_type%3Drerequest%26client_id%3D134231660320506%26state%3D3d768b14ef618fa8bccf5dd92670dd09%26response_type%3Dcode%26sdk%3Dphp-sdk-5.5.0%26redirect_uri%3Dhttps%253A%252F%252Fwww.careercake.com%252Faccounts%252Fconnect%252Fprocess%252F%253Fhauth_done%253DFacebook%26scope%3Demail%26ret%3Dlogin%26fbapp_pres%3D0%26logger_id%3D4d60d31c-112d-4b5c-b724-0fa5c2aad4e4&cancel_url=https%3A%2F%2Fwww.careercake.com%2Faccounts%2Fconnect%2Fprocess%2F%3Fhauth_done%3DFacebook%26error%3Daccess_denied%26error_code%3D200%26error_description%3DPermissions%2Berror%26error_reason%3Duser_denied%26state%3D3d768b14ef618fa8bccf5dd92670dd09%23_%3D_&display=page&locale=si_LK&pl_dbl=0', 'https://www.facebook.com/help/568137493302217', 'https://twitter.com/home?status=https://www.careercake.com/blog/manage-interview-nerves/', 'https://ta-in.facebook.com/login.php?skip_api_login=1&api_key=134231660320506&kid_directed_site=0&app_id=134231660320506&signed_next=1&next=https%3A%2F%2Fwww.facebook.com%2Fv2.8%2Fdialog%2Foauth%3Fauth_type%3Drerequest%26client_id%3D134231660320506%26state%3D3d768b14ef618fa8bccf5dd92670dd09%26response_type%3Dcode%26sdk%3Dphp-sdk-5.5.0%26redirect_uri%3Dhttps%253A%252F%252Fwww.careercake.com%252Faccounts%252Fconnect%252Fprocess%252F%253Fhauth_done%253DFacebook%26scope%3Demail%26ret%3Dlogin%26fbapp_pres%3D0%26logger_id%3D4d60d31c-112d-4b5c-b724-0fa5c2aad4e4&cancel_url=https%3A%2F%2Fwww.careercake.com%2Faccounts%2Fconnect%2Fprocess%2F%3Fhauth_done%3DFacebook%26error%3Daccess_denied%26error_code%3D200%26error_description%3DPermissions%2Berror%26error_reason%3Duser_denied%26state%3D3d768b14ef618fa8bccf5dd92670dd09%23_%3D_&display=page&locale=ta_IN&pl_dbl=0', 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.careercake.com/blog/want-change-career/&title=What+to+do+if+you+want+to+change+career&summary=Q%3A+%E2%80%98I%E2%80%99ve+been+working+in+customer+service+for+a+while+now+but+I+realise+that+I+want+to+go+into+more+of+a+marketing+account+manager+role.+I+have+tried+a+few+interviews+but+I+keep+being+told+I+don%E2%80%99t+have+the+agency+experience+to+do+the+job.+What+I+am+I+doing+wrong%3F%E2%80%99+A%3A+%5B%26hellip%3B%5D&source=LinkedIn', 'https://www.facebook.com/sharer/sharer.php?u=https://www.careercake.com/blog/am-i-an-accidental-manager-thoughts-of-a-new-manager/', 'https://ja-jp.facebook.com/login.php?skip_api_login=1&api_key=134231660320506&kid_directed_site=0&app_id=134231660320506&signed_next=1&next=https%3A%2F%2Fwww.facebook.com%2Fv2.8%2Fdialog%2Foauth%3Fauth_type%3Drerequest%26client_id%3D134231660320506%26state%3D3d768b14ef618fa8bccf5dd92670dd09%26response_type%3Dcode%26sdk%3Dphp-sdk-5.5.0%26redirect_uri%3Dhttps%253A%252F%252Fwww.careercake.com%252Faccounts%252Fconnect%252Fprocess%252F%253Fhauth_done%253DFacebook%26scope%3Demail%26ret%3Dlogin%26fbapp_pres%3D0%26logger_id%3D4d60d31c-112d-4b5c-b724-0fa5c2aad4e4&cancel_url=https%3A%2F%2Fwww.careercake.com%2Faccounts%2Fconnect%2Fprocess%2F%3Fhauth_done%3DFacebook%26error%3Daccess_denied%26error_code%3D200%26error_description%3DPermissions%2Berror%26error_reason%3Duser_denied%26state%3D3d768b14ef618fa8bccf5dd92670dd09%23_%3D_&display=page&locale=ja_JP&pl_dbl=0', '/facebook', 'https://www.facebook.com/sharer/sharer.php?u=https://www.careercake.com/blog/5-takeways-from-the-nue-awards-2018/', 'https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.careercake.com%2Faccounts%2Fconnect%2Fprocess%2F%3Fhauth_done%3DFacebook%26error%3Daccess_denied%26error_code%3D200%26error_description%3DPermissions%2Berror%26error_reason%3Duser_denied%26state%3D3d768b14ef618fa8bccf5dd92670dd09%23_%3D_&h=AT2FVuSl5tFIYqBBVYwSHJET-isMTWM2mi82T14VKz1NJpyKFfaiBcgekAOA2g2tVQiS7PB2Dfw0V2Ze2KTw56JAqaRWsqmEYnz0sSyEcjKF2yVNnt5a8grhjtdcdOF5D-dsgsweixUWtgJl1FYNsg', 'https://www.facebook.com/sharer/sharer.php?u=https://www.careercake.com/blog/25-careers-one-year/', 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.careercake.com/blog/job-interview-questions-not-ask/&title=Job+Interview+Questions+Not+to+Ask+%E2%80%93+Part+1&summary=The+interview+question+I+don%E2%80%99t+like+and+why+%26nbsp%3B+Q%3A+%E2%80%98At+the+end+of+an+interview%2C+is+it+appropriate+to+ask+whether+the+interviewer+doubts+my+suitability+for+the+job+or+not%3F%E2%80%99+A+lot+of+careers+coaches+and+recruitment+consultants%2C+and+books+and+blogs+that+you+can+read+will+often+tell+you%2C+in+an+interview+%5B%26hellip%3B%5D&source=LinkedIn', 'https://www.facebook.com/sharer/sharer.php?u=https://www.careercake.com/blog/3-new-manager-tips-when-starting-a-new-job/', 'https://www.linkedin.com/shareArticle?mini=true&url=https://www.careercake.com/blog/contentupdate2017/&title=Content+Update+%7C+Dec+2017&summary=This+year+we%E2%80%99ve+worked+really+hard+to+understand+what+it+is+you+are+looking+for+from+our+videos.%C2%A0Having+had+the+pleasure+of+talking+to+you+we+could+see+there+was+a+number+of+pain+points+many+of+you+face+when+it+comes+to+the+job+application+process+but+also+when+it+comes+to+settling+in+%5B%26hellip%3B%5D&source=LinkedIn']","['hello@careercake.com', 'accounts@careercake.com', 'hello@hannahsalton.co.uk', 'lucy@careercake.com']"
5eb63c1e9c69232f6ed6edd8,https://centralinnovation.com.au/,Central Innovation Pty Ltd.,,0,"['3 , Building 2 20 Bridge Street Pymble 2073']","['0800 900 889', '1300 423 372', '1300 873 246', '0508 223 226', '1800 633 701']","['https://twitter.com/CI_Designing', 'http://www.linkedin.com/company/central-innovation', 'https://www.instagram.com/centralinnovation/', 'https://www.youtube.com/channel/UCFJmSRpjgzDUjn4hMy9XImg', 'https://www.facebook.com/CentralInnovation']","['nz.support@centralinnovation.com', 'sharp.task@centralinnovation.com']"
5eb63d1b9d2ec0b892c42dd5,https://www.c-learning.net/,C-Learning Pty,"UK website, lists US addresses/TP etc",241,[],[],"['https://www.fenews.co.uk/press-releases/25027-david-price-obe-keynote-speaker-at-further-education-good-practice-symposium?utm_source=dlvr.it&utm_medium=twitter#.XFKvps4qfzN.twitter', 'https://twitter.com/C_learning_net', 'https://www.twitter.com/c_learning_net', 'https://www.facebook.com/clearningnet', 'http://www.linkedin.com/company/c-learning-net', 'https://www.linkedin.com/company/c-learning-net']","['info@delling.cloud', 'ales@c-learning.net', 'sales@c-learning.net']"
5eb63e1ee805d1cff3d80a25,http://www.complierenterprise.com/,Complier Enterprise,Domain not available,0,[],[],[],[]
5eb63ee743b668cb27ef8137,https://www.compnow.com.au/,Computers Now,Address format is different,508,[],"['0411 085 415', '064 837 743', '1300 266 766', '0407 804 785']","['https://www.linkedin.com/company/comp-now', 'https://twitter.com/CompNowTweets', 'http://facebook.com/compnow']","['peter.cannes@compnow.com.au', 'sales@compnow.com.au', 'privacy@compnow.com', 'jason.daniel@compnow.com.au']"
5eb640560732058562a400b3,https://convincely.com/,Convincely,,196,"['11 , 484 St Kilda Road, Melbourne VIC 3000 Australia', '11 , 484 St Kilda Road, Melbourne VIC 3000']",['+61 1300 781 861'],['https://www.linkedin.com/jobs/view/1874880243/'],['info@convincely.com']
5eb646ce3b4442b4da91c057,https://help.blackboard.com/Learn/Instructor/Course_Content/Create_Content/Create_Course_Materials/Link_to_Content_and_Tools,CourseLink,No Addresses in the website,967,[],[],"['https://www.youtube.com/playlist?list=PLontYaReEU1tzu1T5gfiX-JQA5nBc3isN', 'https://www.youtube.com/playlist?list=PLontYaReEU1seUE3ACG3sEc3zR7Br7URU', 'https://twitter.com/blackboardhelp', 'https://www.youtube.com/user/BlackboardTV/playlists']",[]
5eb6479687b6932b9e6de098,http://www.coursesdirect.com.au/,Courses Direct,Domain not available,0,[],[],[],[]
5eb648bf6bc924ef46ab60da,https://launchpad.cuberider.com/,Cuberider,Only Sign in page is accessable,0,[],[],[],[]
5eb64a8e96bdd2bbbb3287e5,https://devika.com/,Devika,,132,"['3 , F 25 Exchange Pl, Barangaroo NSW 2000']",[],"['https://www.instagram.com/devikaworld/', 'https://www.linkedin.com/company/devika', 'https://www.facebook.com/devikaworld/', 'https://twitter.com/devikaworld/']",[]
5eb64bc810a22fecd4eca987,https://dienstconsulting.com/,Dienst Consulting,,53,"['6 , 191 St Georges Tce, Perth Western Australia 6000', '47 , 50 St Georges Terrace Perth, WA 6000 Australia', '47 , 50 St Georges Terrace Perth, WA 6000', '47 , 50 St Georges Tce, Perth Western Australia 6000']","['+61 8 6270 6370', '1300 487 378']","['https://twitter.com/1300ITService', 'https://www.facebook.com/DienstConsulting']","['enquiries@dienstconsulting.com.au', 'accounts@dienstconsulting.com', 'enquiries@dienstconsulting.com', 'support@dienstconsulting.com']"
5eb64cfc8c94747a21f39855,https://www.digischoolgroup.com/en/produits,digiskool,Paris website,181,[],"['04 26 70 03 47', '04 78 53 26 11']","['http://www.facebook.com/digischoolgroup', 'https://twitter.com/digiSchool']","['a.kuntz@digischool.fr', 'sales-ads@digischool.fr']"
5eb64e13158973dfa9982019,https://www.digistorm.com.au/,Digistorm,No Addresses in the website,0,[],"['+617 5508 2929', '(07) 5508 2929', '+61 7 5508 2929']","['https://twitter.com/digistormed', 'https://www.facebook.com/Digistorm-Education-190940580950855/', 'https://www.linkedin.com/company/digistorm']",['contact@digistorm.com']
5eb64f4ea0549166c51ca057,https://www.dynamicwebtraining.com.au/,Dynamic Web Training Pty Ltd.,,920,"['6 , 371 Queen Street,  Brisbane , QLD 4000', '11 , 32 Walker Street,  North Sydney , NSW 2060', '12 , 379 Collins Street,  Melbourne , VIC 3000', '19 Young Street,  Adelaide , SA 5000', '1 , 140 St Georges Terrace,  Perth , WA 6000', '6 , 371 Queens Street, Brisbane, QLD 4000', '19 Young Street, Adelaide, SA 5000', '11 /32 Walker Street  North Sydney NSW 2060', '12 /379 Collins Street  Melbourne VIC 3000', '6 /371 Queen Street  Brisbane QLD 4000', '1 , 140 St Georges Terrace Perth WA 6000', '11 ,  32 Walker Street North Sydney NSW 2060', '19 Young Street Adelaide SA 5000', '12 , 379 Collins Street, Melbourne, VIC 3000', '12 , 379 Collins Street Melbourne VIC 3000', '4 , 54 Marcus Clarke Street Canberra ACT 2601', '4 , 54 Marcus Clarke Street,  Canberra , ACT 2601', '19 Young Street  Adelaide SA 5000', '1 , 140 St Georges Terrace, Perth, WA 6000', '1 , 33-35 Ainslie Place, Canberra, ACT 2601', '4 /54 Marcus Clarke Street  Canberra ACT 2601', '11 , 32 Walker street, North Sydney, NSW 2060', '11 , 32 Walker Street North Sydney NSW 2060', '6 , 371 Queen Street Brisbane QLD 4000', '12 379 Collins Street Melbourne VIC 3000', '1 /140 St Georges Terrace  Perth WA 6000']","['1300 888 724', '+61 2 9957 1377', '1300 727 483']","['https://www.facebook.com/DynamicWebTraining/', 'https://www.linkedin.com/company/dynamic-web-training', 'https://twitter.com/dynamicwebtrain']","['facebook@sjcyr.com', 'kimjones@gmail.com', 'atsonketer@gmail.com', 'info@dynamicwebtraining.com.au', 'watsonketer@gmail.com', 'incometaxdept@incometaxdeptklsu.net']"
5eb650acab06d680d6990351,https://www.f6s.com/edflix,EDflix,No Addresses in the website,216,[],[],"['https://www.linkedin.com/company/carpay-inc./', 'http://twitter.com/embibe', 'https://twitter.com/Brandwatch', 'https://www.linkedin.com/company/crunchbase', 'http://www.linkedin.com/pub/joe-coleman/b/1b5/435', 'http://twitter.com/UofMaryland', 'https://www.facebook.com/MakeSpaceCom/', 'https://www.facebook.com/edflixeducation/', 'https://www.facebook.com/YixueSquirrelAI/', 'https://twitter.com/edflixeducation', 'https://www.facebook.com/BeekeeperSocial', 'https://www.linkedin.com/company/indiavidual-learning', 'https://www.instagram.com/crunchbase', 'https://twitter.com/beekeepersocial', 'https://twitter.com/Freeletics', 'https://www.facebook.com/Dialpadhq/', 'https://www.linkedin.com/company/dialpad', 'https://www.facebook.com/pricefxteam', 'http://twitter.com/docalytics', 'https://www.linkedin.com/company/crunchbase/']","['contact@beekeeper.io', 'support@makespace.com', 'info@docalytics.com', 'support@freeletics.com', 'info@brandwatch.com', 'sales@dialpad.com', 'iwant@embibe.com', 'support@crunchbase.com', 'sales@carpay.com', 'emailum@umd.edu', 'info@squirrelai.us', 'sales@crunchbase.com', 'info@perfectcorp.com', 'info@teleclinic.com', 'press@contently.com', 'info@sofarsounds.com', 'info@lilium-aviation.com', 'contact@edukart.com', 'info@pricefx.com', 'contacts@krisp.ai']"
5eb651bc5fa088c453991725,https://www.edpotential.com/,EdPotential,Address format is different,34,[],['0800 433 768'],[],['contact@edpotential.com']
5eb652de55de509b4a9efaf4,https://edquire.com/,edQuire,,20,"['41 , 159 Arthur Street, Homebush West, NSW 2140 Australia', '41 , 159 Arthur Street, Homebush West, Sydney, NSW Australia 2140', '41 , 159 Arthur Street, Homebush West, NSW 2140']",['(+612) 9787 3352'],"['https://www.facebook.com/edQuire/', 'https://www.linkedin.com/company/fic-technology-pty-ltd', 'https://www.facebook.com/edQuire', 'https://twitter.com/ed_Quire', '#i-use-youtube-as-part-of-teaching-does-edquire-classify-youtube-titles-as-on-and-off-task', 'https://www.youtube.com/channel/UCAymVjPCYPPsLOXq35gsqug', 'https://www.youtube.com/watch?v=qwbcpnFPSDY&feature=youtu.be', 'https://www.instagram.com/edquire_for_educators/', 'https://twitter.com/ed_quire']","['support@edquire.com', 'marketing@edquire.com', 'sales@edquire.com']"
5eb65433af5bcc3efe32c504,https://www.edval.education/,Edval Timetables,,135,"['2 , 83-97 Kippax St SURRY HILLS NSW 2010', 'Suite 2, 83-97 Kippax Street Surry Hills, NSW 2010', '2 , 83-97 Kippax St SURRY HILLS NSW 2010 Australia', '2 , 83-97 Kippax Street Surry Hills, NSW 2010']","['+61 8 6230 3066', '+61 8 8120 0855', '+61 7 3088 4066', '+61 3 9020 3455', '+61 2 8203 5455', '03 9020 3455']","['https://twitter.com/edvalUK', 'https://twitter.com/edvaltimetables', 'https://twitter.com/EdvalTimetables', 'https://www.facebook.com/edvaltimetables1', 'https://au.linkedin.com/company/edval-timetables', 'https://www.linkedin.com/company/edval-timetables-uk/', 'https://www.youtube.com/channel/UCq0EGvLTyy-LLT1oUSO_0FQ', 'https://www.facebook.com/EdvalUK/']","['sales@edval.education', 'feedback@edval.education', '17871-1591950600-1591974000@www.edval.education', '17874-1593073800-1593097200@www.edval.education', 'hello@edval.education', 'security@edval.education', 'training@edval.education', '17866-1592814600-1592838000@www.edval.education']"
5eb6556c29c37695bc97bec4,http://emarkingassistant.com/,eMarking Assistant,,191,"['5 , 1 Goldner Circuit, Melba, ACT 2615']","['0407 742851', '+61 (0) 407 742 851']","['https://www.youtube.com/watch?v=COaWFYG5MBE&list=PLq05fOSKB_VPKXiU-2Fm0EiUcr2WzhqYg', 'https://www.youtube.com/watch?v=pevpoZVP2kk', 'https://www.youtube.com/watch?v=QK8eDoMIQKM', 'https://www.facebook.com/davidbradshawenglish2013/posts/304723283032325', 'https://www.youtube.com/watch?v=tZ-HrDyOau4&list=PLq05fOSKB_VPKXiU-2Fm0EiUcr2WzhqYg']","['vans@emarkingassistant.com', 'peter.evans@emarkingassistant.com', 'info@emarkingassistant.com']"
5eb6567909d0de1b6b708cf8,https://equ.com.au/,Equilibrium,,496,"['1 , 77 King St   Perth WA 6000']",['(08) 9421 7900'],"['https://www.theverge.com/2017/8/30/16222850/youtube-google-brain-algorithm-video-recommendation-personalized-feed', 'https://www.youtube.com/watch?v=-M4kRmnZUBM&feature=youtu.be', 'https://www.instagram.com/equilibriumagency', 'https://www.instagram.com/equilibriumagency/', 'https://www.youtube.com/watch?v=MaRgQmwQymE?autoplay=1', 'https://www.youtube.com/watch?v=-78uymYOcnI', 'https://www.nytimes.com/2019/05/09/opinion/sunday/chris-hughes-facebook-zuckerberg.html', 'https://au.linkedin.com/company/equilibrium', 'https://www.youtube.com/watch?v=7kS2Ec0dTQU', 'https://www.nytimes.com/2018/10/10/technology/personaltech/how-to-delete-facebook-instagram-account.html', 'https://fortune.com/2018/09/28/facebook-stock-falls-after-security-breach/', 'https://www.nytimes.com/2019/07/12/technology/facebook-ftc-fine.html', 'https://www.sbs.com.au/news/deletefacebook-calls-grow-after-cambridge-analytica-data-scandal', 'https://www.fastcompany.com/90373954/done-with-facebook-and-twitter-heres-how-to-start-your-own-private-social-network']","['info@equ.com.au', 'careers@equ.com.au']"
5eb657e754ee9cbe1a7388c8,https://essayassignmenthelp.com.au/,Essay Assignment Help,No contact page + scrapy does not work,0,[],[],[],[]
