link,title,description,rake_results,textrank_results,kpe_results,wordcloud_results,IsPrivateEquity
https://www.ancestry.com/search/categories/bmd_marriage/?name=Morris_Fox,Morris Fox - Ancestry.com,Results 1 - 20 of 23342 — To get better results  add more information such as Birth Info  Death Info and Location—even a guess will help. Edit your search or learn ...,"['vid giltiga skäl', 'stem cell transplant', 'som knappen för', 'samt befintliga kunder', 'registrering är gratis', 'recurso funcione adequadamente', 'mycket begränsade omständigheter', 'mas após fazê', 'länkningar till släktträd', 'inscrição é gratuita']","['för ancestry ancestry', 'grupo ancestry ou de terceiros de confiança da ancestrydna ou da ancestry', 'ou de terceiros de confiança da ancestrydna ou da ancestry', 'ancestry ancestry', 'other dna information', 'ancestry information security', 'andra personuppgifter för att köpa eller använda de produkter eller', 'informações de contato e', 'ancestry privacy center ancestry', 'informações de contato ou']","['gift membership', 'hereditari thrombophilia', 'famili tree', 'ancestri lab', 'ancestryhealth', 'result', 'import', 'privaci philosophi', 'tay', 'gift start date']","['sickle_cell_anemia', 'non_personal_information', 'information_third_party', 'information_personal_information', 'family_health_history', 'biological_parent_carrier', 'carrier_sickle_cell', 'independent_laboratory_partner', 'personal_information_such', 'ancestry_com_ancestry']",True
https://www.pnyx.com.au/,Pnyx creators of Comm.care_ The Best Case Management ...,Comm.care by Pnyx is the client management platform that reduces admin and improves quality of care.,"['torres strait islanders', 'student sumedha zadoo', 'student lyndell evans', 'student kshitija deshmukh', 'streaming 15 seconds', 'scale volunteer initiatives', 'pamela sue joined', 'louise van corler', 'katoomba neighbourhood centre', 'january 31st 2018']","['ndis clients', 'good client service', 'aged care services', 'small business service providers', 'community service providers', 'client care', 'service providers', 'other service providers', 'disability service providers', 'many service providers']","['client', 'ndi', 'servic provid', 'australian age care busi', 'pnyx new tag', 'plan', 'tag', 'question case manag tool', 'case studi', 'progress note']","['aged_care_business', 'case_management_system', 'client_management_system', 'client_plan_manager', 'allied_health_professional', 'client_case_management', 'disability_aged_care', 'support_log_invoice', 'account_financial_record', 'aged_care_provider']",False
https://www.realsupportchoices.com.au/,Real Support Choices: Self-Manage your NDIS Plan Easily ...,Real Support Choices is a simple online software to help you self-manage your NDIS plan with ease  saving you time and thousands of dollars.,"[""undefined '){ placeholders"", 'typeof placeholders !=', 'sydney nsw 2001', 'recent posts leave', 'mooloolaba qld 4557', '45 brisbane road', 'lodging payment requests', 'claim payment electronically', 'updating compatible hardware', 'unnecessary hidden costs']","['managing ndis', 'ndis support', 'ndis carers', 'choice ndis budget management', 'many ndis support plans', 'manage ndis carers', 'ndis carer program', 'carer support', 'more ndis care', 'more carer support']","['self', 'ndi budget', 'real support choic', 'carer', 'care particip', 'particip', 'click', 'time', 'manag', 'money']","['real_support_choice', 'support_choice_app', 'aged_care_participant', 'contractor_subscription_fee', 'self_aged_care', 'self_ndis_plan', 'support_choice_easy', 'carer_real_support', 'support_choice_self', 'care_worker_job']",False
https://manad.com.au/,Manad Plus - Aged Care Software for five-star organisations,If you operate an aged care home  you need software and you need manad plus. Contact us on 1300 62 62 32 to find out how manad plus can make life easier.,"['went unanswered fell', 'professor brendan murphy', 'modified monash model', 'maggie beer foundation', 'dorothy henderson lodge', 'connectedness david tune', 'ansell strategic considers', 'aged 65 +.', 'https :// manad', 'valuing relational care']","['aged care residents residential care', 'aged care sector aged care facilities', 'aged care residential aged care communiqué', 'aged care service providers', 'residential aged care services', 'residential aged care providers', 'residential aged care information', 'aged care homes', 'aged care home services', 'aged care support']","['age care industri easi', 'manad', 'sure vital inform', 'time', 'team', 'mobil creat custom workflow', 'staff commun', 'top', 'featur', 'comprehens implement']","['aged_care_provider', 'residential_aged_care', 'aged_care_quality', 'information_aged_care', 'aged_care_service', 'aged_care_facility', 'aged_care_sector', 'australian_aged_care', 'aged_care_worker', 'aged_care_home']",False
https://www.inerva.com/,Inerva Aged Care Software,Inerva Software is for Australian Aged Care Providers who are dissatisfied with software systems that don't serve their unique industry. Inerva is a ...,"['® aveo springfield', 'writes michael smith', 'writes keith bromley', 'write michelle campbell', 'sole accrediting body', 'royal commission runs', 'retired jewel thief', 'requiring prior hospitalisation', 'offshore attackerss masquerading', 'nyc firm hwkn']","['aged care', 'aged care providers', 'aged care service providers', 'aged care homes', 'aged care consumers', 'aged care residents', 'aged care staff', 'aged care organisations', 'aged care funding', 'aged care workers']","['restor care', 'abc provid wound care studi', 'workforc regul', 'live commun approach accredit', 'carer gateway rural set', 'resid healthi', 'residenti unit', 'like', 'expert polici reform', 'technic characterist']","['single_touch_payroll', 'aged_care_provider', 'residential_aged_care', 'australian_aged_care', 'aged_care_facility', 'dementia_friendly_community', 'home_care_package', 'aged_care_sector', 'home_care_provider', 'touch_payroll_stp']",False
http://www.aimsoftware.com.au/about.html,about Our company - AIM SOFTWARE | AGED CARE ...,AIM Software Australia specialists in Aged Care Management  Financial Management  Payroll and Rostering Software. AIM Payroll Bureau and AIM Payroll ...,"['written indicative proposal', 'stay informed whether', 'phone call away', 'levels without compromising', 'fully integrated suite', '49 norcal road', 'contact us facebook', 'please contact us', 'upgrading please contact', 'using rostering yet']","['effective aged care specific financial management solutions', 'financial management software solutions', 'aged care service providers', 'outsourcing services aim software', 'aged care specific client billing software', 'c. news aim software', 'payroll bureau services contact details aim software', 'aged care', 'aged care financial management asset register', 'c. news aim software pty ltd']","['softwar', 'financi manag asset regist', 'solut', 'support', 'commun care', 'train', 'new sql version link', 'perform', 'today', 'mission']","['aged_care_provider', 'business_timely_accurate', 'community_care_service', 'financial_management_solution', 'sale_contact_form', 'software_comprehensive_range', 'accuracy_track_record', 'accurate_delivery_financial', 'accurate_financial_management', 'accurate_financial_reporting']",False
https://trimicro.com.au/,TriMicro - Australian Aged Care Software For Payroll_ Billing ...,TriMicro is an Australian pioneer of aged and home care software and CDC/Consumer Directed Care software.,"['means tested fees', 'integrated module assures', 'extra service fees', 'procedure simply go', 'check staff qualifications', 'pays must get', 'payroll turnaround times', 'continually develop trionline', 'qualifications simplified software', 'provide maximum uptime']","['trionline software', 'trionline cdc', 'trionline accounts', 'trionline administrator', 'trionline roster', 'payroll bureau', 'dean endres trionline', 'aged care facilities', 'trimicro software', 'residential aged care']","['trionlin roster', 'date', 'trimicro', 'partner', 'friendli support', 'troubleshoot', 'product']","['aged_care_industry', 'emergency_sms_contact', 'powerful_extensible_payroll', 'single_touch_payroll', 'sms_contact_number', 'able_dashboard_residential', 'able_reporting_obligation', 'able_trionline_account', 'able_trionline_home', 'accommodation_charge_receipt']",False
https://www.hdstech.com.au/,Leading Aged Care Software,Contact Us On 1300 100 437 or info@hdstech.com.au. ... is what our happy clients have to say about their experience with our aged care system in Australia.,"['puts immense pressure', 'consequential damages resulting', 'congested seating arrangements', 'aging population affects', 'automatically calculates prep', 'microscope – amid', 'corporate lunches –', '(** – subject', 'social engagements !!!!', 'learning disclaimer resource']","['aged care software vendor softwares', 'star aged care software system', 'aged care software technology', 'aged care software solutions', 'aged care software efficiency', 'aged care services', 'residential aged care software', 'aged care meals', 'other aged cares', 'other aged care software vendors']","['age care softwar', 'food', 'nutrit label', 'food safeti temperatur monitor', 'dine experi', 'right softwar', 'technolog tip', 'user email protect', 'complet solut', 'dietari system screenshot']","['aged_care_software', 'aged_care_facility', 'aged_care_catering', 'aged_care_industry', 'care_software_system', 'temperature_monitoring_system', 'experience_aged_care', 'system_aged_care', 'aged_care_system', 'software_aged_care']",False
https://autumnagedcare.com.au/,Home of Aged Care | Autumn Aged Care | Live Well | Call ...,We are following advice from Australia's Chief Medical Officer  VIC Department of Health  World Health Organization and the Aged Care Quality and Safety ...,"['price waterhouse coopers', 'native english speakers', 'https :// palliativecare', 'greyt greys rescue', 'fair regulatory framework', 'enterprise scotland acknowledges', 'ceiling lifting rails', 'button lampshades reward', '16 stewart street', '1300 428 886']","['aged care residents', 'aged care staff', 'aged care services', 'aged care information', 'residential aged care services', 'aged care work', 'residential aged care homes', 'aged care system', 'residential aged care facilities', 'aged care sectors']","['autumn age care', 'intergener care', 'resid well', 'custom servic', 'call', 'dementia australia', 'vic', 'import', 'privaci', 'senior']","['autumn_aged_care', 'residential_aged_care', 'aged_care_facility', 'aged_care_sector', 'aged_care_quality', 'aged_care_service', 'aged_care_home', 'care_aged_care', 'aged_care_resident', 'aged_care_worker']",False
https://e-tools.com.au/,e-Tools Software Solutions to Support Your Care Business,... your business and compliance requirements more efficiently with e-Tools Software applications. ... Please contact the e-Tools team by email on support@e-tools.com.au for software assistance or demonstrations. ... Clients Australia Wide.,"['tour guide went', 'retirement village living', 'refined participant calendar', 'print attendance sheet', 'mid north coast', 'mandurah retirement village', 'fashioned attendance sheet', 'expenses whatsoever relating', 'committee started asking', 'cdata [*/ var']","['aged care service providers', 'aged care specific software providers', 'new home care providers', 'aged care specific software solutions', 'care providers', 'residential aged care providers', 'home care management solution', 'community care providers', 'software provider', 'aged care management']","['age care provid', 'servic', 'tool', 'intuit softwar system', 'new', 'busi', 'home support', 'regulatori chang', 'electron home care packag', 'system']","['aged_care_facility', 'home_care_provider', 'length_unescape_length', 'unescape_length_unescape', 'home_care_package', 'aged_care_provider', 'home_care_home', 'price_analysis_tool', 'care_home_support', 'aged_care_industry']",False
https://www.caresystems.com.au/,Home - Care Systems - Aged care management software,Since 1984  when the first Care Systems product was developed for an Aged Care facility in Queensland  we have enabled our clients to focus on providing care ...,"['sustained neglect toward', 'payment summary format', 'nsw central coast', 'monitoring air conditioning', 'kymberly martin looks', 'impressive exhibition showcasing', 'fringe benefits gross', 'elder abuse allegations', 'chair several sessions', '64 bit editions']","['aged care care systems', 'care systems payroll', 'software care systems', 'version care systems', 'care systems staff', 'care systems support', 'care systems 9.07.03', 'care systems 9.08.05', 'care systems logon', 'care systems 9.07.00']","['holiday care system', 'age care financi report', 'financi year', 'fee', 'charg', 'juli', 'payrol schedul', 'monthli archiv time', 'roster', 'subsidi']","['single_touch_payroll', 'schedule_fee_charge', 'year_end_procedure', 'contact_care_system', 'aged_care_management', 'care_system_available', 'payroll_year_end', 'system_single_touch', 'care_management_software', 'care_system_single']",False
https://www.soupedup.com/,Soupedup Solutions | Aged Care Catering Software | Australia ...,Australia's leading aged care catering software provider  Plan  Manage  Deliver  ... Our support team is available on 03 9543 4052 and support@soupedup.com.,"['represented physical thickness', 'reporting provides peace', 'powerful bonding force', 'physical restraints streamline', 'mulgrave vic 3170', 'local councils struggle', 'legitimately lay claim', 'kung pao wow', 'finest gourmet cuisine', 'fastest growing illnesses']","['care home residents', 'aged care catering', 'aged care catering services', 'catering care software', 'outstanding aged care catering', 'aged care facilities', 'aged care sites', 'aged care nutrition', 'catering care', 'aged care sectors']","['soupedup', 'outstand age care cater', 'hlac award soupedup survey', 'onlin softwar', 'food', 'manag', 'chees polenta muffin', 'end', 'asparagu', 'lemon']","['photo_hashtag_creation', 'hospitality_lifestyle_aged', 'lifestyle_aged_care', 'aged_care_catering', 'hashtag_creation_instagram', 'aged_care_facility', 'aged_care_industry', 'aged_care_sector', 'content_top_important', 'gallery_slide_slide']",True
https://www.carelynx.com/,CareLynx – Clinical monitoring care platform,Get in touch with the CareLynx team. We can deliver our services to wherever you're based in Australia. Phone: 1300 883 953. Email: ...,"['undertake unobtrusive assessments', 'po box 888', 'following residential 2', 'dining room anymore', 'deeper patient insights', 'cultural transition projects', 'clear shift towards', 'changing rules handed', '25 montpelier rd', '1300 883 953']","['remote aged care services', 'remote areas health care workers', 'health care', 'exceptional aged care services', 'remote aged care trial', 'residential aged care', 'care staff', 'indigenous aged care residents', 'health care providers', 'health care systems']","['inform remot age care trial', 'carelynx concierg', 'support sale', 'trial', 'chang', 'nurs advisori servic', 'time', 'sue holton', 'home', 'cloud']","['aged_care_trial', 'residential_aged_care', 'health_care_worker', 'remote_aged_care', 'trial_carelynx_model', 'aged_care_sector', 'aged_care_facility', 'aged_care_provider', 'application_new_standard', 'care_trial_carelynx']",False
https://www.visicase.com/,Visicase: Home,EXPLORE VISICASE CARE ... For Participate Australia  this was an important factor in choosing their software solution.” Peter Schneider. Executive Manager ...,"['trusted australian presence', 'slightly colder climate', 'regular pulse checks', 'qualities extend beyond', 'proin nisl risus', 'lorem ipsum risus', 'imperdiet ac enim', 'consectetur adipiscing elit', 'australian computer society', '97 jones street']","['ndis services', 'ndis service providers', 'ndis service delivery', 'ndis software visicase', 'ndis management', 'ndis providers', 'ndis participant experience', 'ndis jobs', 'manage ndis', 'useful ndis training']","['specif ndi train', 'social media', 'busi name', 'corpor servic manag', 'employ brand implement plan', 'disabl care servic', 'ndi recruit challeng', 'ndi servic provid', 'transfer skill', 'ndi particip experi']","['aged_disability_care', 'social_medium_policy', 'disability_aged_care', 'disability_care_sector', 'powerful_workflow_engine', 'future_proof_business', 'job_career_care', 'name_social_medium', 'visicase_care_business', 'aged_care_sector']",False
https://www.darzin.com/,Darzin,Aug 19  2020 — Easily manage your stakeholders with Darzin  the most powerful stakeholder ... ONE AUSTRALIAN SOLUTION ... Darzin needs the contact information you provide to us to contact you about our products and services.,"['weekly household incomes', 'tailings ponds scar', 'silicon valley guru', 'rio de janeiro', 'prevent foreseen losses', 'parque das conchas', 'kingsford smith drive', 'hutt valley walking', 'https :// www', 'hereby expressly instructed']","['darzin stakeholder engagement software', 'stakeholder engagement management', 'stakeholder consultations', 'great stakeholder engagement processes', 'darzin stakeholder relationship management', 'darzin community engagement software', 'stakeholder engagement needs', 'effective stakeholder engagement', 'community engagement processes', 'stakeholder engagement market']","['public consult', 'state govern commun engag', 'stakehold engag', 'stakehold manag', 'multipl project', 'long', 'stakehold', 'term stakehold crm', 'eia sale', 'favour']","['public_consultation_process', 'stakeholder_engagement_process', 'stakeholder_management_software', 'engagement_public_consultation', 'stakeholder_engagement_public', 'environmental_social_impact', 'tidal_flood_defence', 'effective_grievance_management', 'future_flood_risk', 'online_policy_similar']",False
https://redbourne.com.au/,Redbourne Group: Australian software and service provider ...,The Redbourne Group has been delivering innovation in information technology solutions and administration services for nearly 20 years.,"['specialist consultancy practice', 'source code reviews', 'several hundred thousand', 'problems really draws', 'po box 492', 'per grant specifications', 'https :// ministers', 'free awareness session', 'estimate calculations alongside', 'disaster recovery capabilities']","['client management software', 'redicase case management software', 'software services', 'case management software', 'redicase client management system', 'redbourne case management system', 'management software provider', 'key business management software', 'ready aod redicase case management software', 'popular case management software']","['child care central march', 'servic', 'redicas', 'busin harmoni web', 'redbourn group', 'contract', 'educ onlin', 'harmoni softwar', 'polic referr', 'solut provid']","['case_management_software', 'child_care_central', 'child_care_service', 'residential_treatment_provider', 'child_care_subsidy', 'management_software_solution', 'health_community_service', 'redicase_case_management', 'service_child_care', 'case_management_solution']",True
http://www.adamas.net.au/,Disability Services Software_ Community Care_ Homecare ...,ADAMAS is the owner and developer of TRACCS  the leading Australian ... to support@adamas.net.au - including the same details as are requested on the ...,"['save approximately half', 'relevant billing rate', 'reasons fall broadly', 'pre sales consultancy', 'maylands wa 6931', 'mobile device capability', 'mobile device back', 'enhancement requests lodged', 'user definable reports', 'security measures documents']","['adamas corporate solutions', 'adamas corporate solutions pty ltd', 'adamas corporate solutions site', 'adamas corporate', 'adamas corporate solutions pty ltd.', 'corporate solutions pty ltd', 'adamas release management', 'adamas staff', 'apk adamas', 'adamas staff interpretation']","['adama', 'alara', 'tracc polici', 'support call', 'new system', 'user licenc agreement', 'ndia', 'end', 'queri', 'code mainten agreement']","['code_maintenance_agreement', 'site_download_page', 'web_site_download', 'build_service_pack', 'client_infrastructure_functionality', 'aged_disability_care', 'build_version_release', 'level_working_hour', 'loss_client_infrastructure', 'major_minor_version']",False
https://caremaster.com.au/about-us,About Us - CareMaster,Care Master main website. ... Over that time we worked closely with Area Health Boards up and down the eastern seaboard of Australia. We also started to work ...,"['vertunt requiemque etenim', 'ut natum surdaeque', 'tulit navem blandas', 'triumphos aquis pavit', 'sum thyneius liquor', 'standard inclusions apply', 'sed cragon potitus', 'risit luserat meumque', 'removete dona fertilis', 'remisit pars reppulit']","['et et suum', 'xero settings section caremaster', 'et est', 'xero connect caremaster', 'et', 'et rates', 'xero settings', 'et dixit', 'et aut', 'xero payroll settings']","['xero', 'caremast', 'invoic', 'step', 'xero set', 'support', 'nostra confido topic', 'client automat alert', 'team today option', 'day']","['earning_rate_assignment', 'ordinary_earning_rate', 'account_earning_rate', 'automatic_template_setting', 'code_item_description', 'control_item_particular', 'earning_rate_payroll', 'inclusion_gst_month', 'item_code_item', 'item_particular_award']",False
https://www.shiftcare.com/,ShiftCare: Complete Care Management Software for Disability ...,... Plans ✓ NDIS billing. For health service providers → Try ShiftCare FREE for 7 days. ... From scheduling to tracking  shiftcare software is with you every step of the way. Generate recurring ... 11 York Street  Sydney NSW 2000 Australia.,"['unbiased organizational behavior', '155 queen street', '31 mar 2020', 'stapler pins etc', 'meal preparation etc', 'https :// support', 'significant financial hardship', 'new south wales', 'bought new cushions', '2018 january 27']","['shiftcare shiftcare', 'shiftcare client management software', 'aged care staff', 'shiftcare make', 'full client care management', 'shiftcare technology ndis', 'ndis website shiftcare', 'client ndis progress reports', 'staff shifts', 'shiftcare shift swaps']","['shiftcar', 'task manag', 'ndi', 'age care', 'ndi payment', 'progress note', 'time', 'busi', 'shift', 'client']","['aged_care_disability', 'care_disability_support', 'disability_support_industry', 'disability_support_provider', 'disability_service_provider', 'software_aged_care', 'care_disability_provider', 'care_plan_carer', 'disability_support_business', 'high_quality_care']",False
http://www.uniqcare.com.au/tag/technology/,TECHNOLOGY Archives - UniQcare,The One Stop – Shop for Australia's Healthcare Community. Australia is spending $130.2 Billion over the next 5 years on healthcare  with the 2018/19 Federal ...,[],[],[],[],False
https://visualdatasolutions.com.au/,Visual Data Solutions,Visual Care is Australia's leading · automated rostering platform purpose built for Australian Care Providers · Are you paying too much overtime? · Are you COVID 19 ...,"['windows desktop solution', 'removing manual editing', 'online messaging reach', 'external funding sources', 'covid 19 ready', 'coming roster schedules', 'auditor even commended', 'anywhere online portals', 'vital customer feedback', 'regular useful features']","['visual care air', 'award interpretation visual care', 'visual care', 'visual care air reduce wage processing errors', 'visual care client app', 'managing director visual care worker mobile app', '| community | disability | ndis award interpretation home care packages contact award interpretor', 'real time reports', 'visual data', 'real-time award interpretation visual care']","['visual care', 'help system', 'prompt time frame', 'power softwar', 'great support', 'easi', 'real', 'staff', 'payrol', 'integr']","['visual_care_air', 'integration_visual_care', 'overtime_visual_care', 'real_time_award', 'real_time_feedback', 'software_visual_care', 'system_visual_care', 'time_award_interpretation', 'visual_care_flexible', 'visual_care_worker']",False
