,id,avention_link,avention_address,avention_type
26,604f7906a8ff6195bc26d8b5,www.nztertiarycollege.ac.nz,"60 Greville Road , Pinehill Auckland, 0632 New Zealand ",Private Independent
27,6041d54fa63926c168451454,No data,No data,No data
28,604f9020a8ff6195bc26d9da,No data,No data,No data
29,604fadf25080c72c84504079,No data,"15/F Rykadan Capital Twr , 135 Hoi Bun Rd Kwun Tong, Hong Kong SAR",Private Independent
30,604f977ca8ff6195bc26da33,No data,No data,No data
31,604f8caba8ff6195bc26d9b8,No data,No data,No data
32,604fa1fd5080c72c84503fe0,No data,No data,No data
33,604fa2bf5080c72c84503feb,No data,No data,No data
34,604f9133a8ff6195bc26d9e4,No data,No data,No data
35,604f9a78a8ff6195bc26da59,No data,No data,No data
36,604f9504a8ff6195bc26da10,No data,No data,No data
37,604f7ee5a8ff6195bc26d907,www.engageeducation.org.au,"Se D L 6 492 St Kilda Rd Melbourne, Victoria, 3121 Australia ",Private Independent
38,604f8a92a8ff6195bc26d99f,No data,"Level 3 50 Clarence Street Sydney, New South Wales, 2000 Australia",Private Independent
39,604f804fa8ff6195bc26d919,www.schoolgovernance.net.au,"L 4 179 Elizabeth St Sydney, New South Wales, 2000 Australia",Private Subsidiary
40,604f8e1ba8ff6195bc26d9c6,No data,No data,No data
41,604f9c92a8ff6195bc26da73,No data,No data,No data
42,604faed95080c72c84504084,No data,"159 Varsity Parade Varsity Lakes, Queensland, 4227 Australia",Private Subsidiary
43,604fafaf5080c72c8450408d,No data,No data,No data
44,602f18ca7ba8308c59e0f239,www.gymbaroomalvern.com.au,"530 Dandenong Road Caulfield North, Victoria, 3161 Australia",Private Subsidiary
45,604f7872a8ff6195bc26d8ad,No data,No data,No data
46,602ab05a1a03b37ed3a71e49,No data,No data,No data
47,604f8553a8ff6195bc26d961,No data,No data,No data
48,604f8408a8ff6195bc26d94b,www.auckland.ac.nz,"24 Symonds Street Auckland, 1010 New Zealand","Private Parent, Headquarters"
49,604fb1d25080c72c845040a7,No data,No data,No data
50,604f8739a8ff6195bc26d978,No data,No data,No data
51,604f808ea8ff6195bc26d91d,No data,No data,No data
52,604f7940a8ff6195bc26d8b9,No data,No data,No data
53,604f72dba8ff6195bc26d86b,www.massey.ac.nz,"Tennent Dr Palmerston North, 4474 New Zealand",Private Independent
54,604fb8935080c72c845040ea,No data,No data,No data
55,604f92f0a8ff6195bc26d9f7,No data,No data,No data
56,604f9b94a8ff6195bc26da68,www.education.vic.gov.au,"2 Treasury Pl East Melbourne, Victoria, 3002 Australia ","Public Sector Subsidiary, Headquarters"
57,604fa0e45080c72c84503fd4,No data,No data,No data
58,604f74a1a8ff6195bc26d87f,No data,No data,No data
59,604f9674a8ff6195bc26da25,No data,No data,No data
60,604fb2ac5080c72c845040b3,No data,No data,No data
61,604f729ca8ff6195bc26d867,No data,No data,No data
62,604f85eca8ff6195bc26d96a,No data,No data,No data
63,604fa84c5080c72c84504032,No data,No data,No data
64,6041b2a5a63926c168451374,No data,No data,No data
65,604f8629a8ff6195bc26d96e,No data,No data,No data
66,602a991e1a03b37ed3a71d96,www.seekvisa.com.au,"Se 513 566 St Kilda Road Melbourne, Victoria, 3004 Australia",Private Independent
67,604fa5295080c72c84504009,No data,No data,No data
68,604f4093a8ff6195bc26d52d,www.pwc.com.au,"L 17 100 Barangaroo Ave Barangaroo, New South Wales, 2000 Australia",Private Subsidiary
69,604fb6885080c72c845040d6,No data,No data,No data
70,604f9439a8ff6195bc26da09,No data,"19 Mackelvie Street , Ponsonby Auckland, 1144 New Zealand",Private Independent
71,602a9b671a03b37ed3a71da8,www.abc.net.au,"ABC Ultimo Ctr 700 Harris St Ultimo, New South Wales, 2007 Australia ","Public Sector Parent, Headquarters"
72,604f724ea8ff6195bc26d863,www.tafecourses.com.au,"123 Erskine Street Middle Park, Victoria, 3206 Australia","Private Parent, Headquarters"
73,604f7db9a8ff6195bc26d8fc,www.nzrelo.com,"89 Sovereign Dr Two Rocks, Western Australia, 6037 Australia",Private Independent
74,602ab5221a03b37ed3a71e66,www.swimaustralia.org.au,"Shop 5 74 Simpson Street Beerwah, Queensland, 4519 Australia ",Private Independent
75,604fa34c5080c72c84503ff1,www.softed.com,"'ibm Building' Level 11 348 Edward Street Brisbane City, Queensland, 4000 Australia ",Private Subsidiary
76,604f9b32a8ff6195bc26da64,No data,No data,No data
77,604f7684a8ff6195bc26d891,www.accco.com.au,"161 Brunswick Street Fortitude Valley, Queensland, 4006 Australia",Private Independent
78,604f8a23a8ff6195bc26d99a,www.redtentyoga.com.au,"U10 / 21-23 Tasman Way Byron Bay, New South Wales, 2481 Australia",Partnership Independent
79,604f7ff6a8ff6195bc26d915,No data,No data,No data
80,604fb5b25080c72c845040cd,No data,No data,No data
81,6041c80ba63926c168451408,No data,No data,No data
82,604f7bd6a8ff6195bc26d8e0,No data,"8 Resolution Drive , Gulf Harbour Whangaparaoa, 0930 New Zealand",Private Independent
83,602ab9191a03b37ed3a71e7b,www.stuff.co.nz,"42-52 Willis Street Wellington, 6011 New Zealand","Private Subsidiary, Headquarters"
84,604fe0925080c72c84504334,No data,No data,No data
85,604f8be4a8ff6195bc26d9af,www.aasw.asn.au,"L 7 14-20 Blackwood St North Melbourne, Victoria, 3051 Australia ",Private Independent
86,604fad1f5080c72c8450406b,www.adventurepro.com.au,"7 Table Top Rd Bridge Creek, Victoria, 3723 Australia",Private Independent
87,604f78bfa8ff6195bc26d8b1,No data,No data,No data
88,604f8fd5a8ff6195bc26d9d6,www.melbournebmw.com.au,"565 Parramatta Rd Leichhardt, New South Wales, 2040 Australia",Private Subsidiary
89,604f8788a8ff6195bc26d97c,No data,No data,No data
90,604f933ba8ff6195bc26d9fc,No data,No data,No data
91,604f9d45a8ff6195bc26da7c,No data,No data,No data
92,604f95d3a8ff6195bc26da1b,www.scholastic.com.au,"76-80 Railway Cres Lisarow, New South Wales, 2250 Australia ","Private Subsidiary, Headquarters"
93,604f9729a8ff6195bc26da2f,No data,No data,No data
94,604f82bba8ff6195bc26d936,No data,No data,No data
95,602f95e97ba8308c59e0f4fd,No data,No data,No data
96,604f8470a8ff6195bc26d953,www.manukau.ac.nz,"Gate 1 L Block Newbury St , Otara Auckland, 2023 New Zealand ",Private Independent
97,604fb22a5080c72c845040ac,No data,No data,No data
98,604f7f82a8ff6195bc26d90f,No data,No data,No data
99,604fb5745080c72c845040c9,No data,No data,No data
100,604fad5e5080c72c8450406f,No data,No data,No data
101,604f8341a8ff6195bc26d93f,No data,No data,No data
102,604fa7755080c72c84504027,No data,No data,No data
103,604f7c2ea8ff6195bc26d8e4,www.skincancertraining.com.au,"13 Cashew Court Upper Coomera, Queensland, 4209 Australia",Private Independent
104,604f7f2ba8ff6195bc26d90b,No data,No data,No data
105,604fadba5080c72c84504075,No data,No data,No data
106,604fa1bb5080c72c84503fdc,No data,No data,No data
107,604f84c8a8ff6195bc26d958,No data,No data,No data
108,604f850da8ff6195bc26d95d,www.waikato.ac.nz,"1 Knighton Road , Hillcrest Hamilton, 3216 New Zealand","Private Parent, Headquarters"
109,604fb1945080c72c845040a3,No data,No data,No data
110,604f7833a8ff6195bc26d8a9,No data,No data,No data
111,604f88caa8ff6195bc26d987,No data,No data,No data
112,604f81c2a8ff6195bc26d92a,No data,No data,No data
113,604faa685080c72c84504047,No data,No data,No data
114,604f83e3a8ff6195bc26d947,No data,"Level 11 452 Flinders Street Melbourne, Victoria, 3000 Australia",Private Subsidiary
115,604f735da8ff6195bc26d873,No data,"58 Mt Morton Rd Belgrave, Victoria, 3160 Australia",Private Independent
116,604fa6835080c72c8450401e,No data,No data,No data
117,604f73e9a8ff6195bc26d87b,No data,No data,No data
118,602e4c9fa4a518be2f97bee7,No data,No data,No data
119,604fa5835080c72c8450400e,No data,No data,No data
120,602a9f981a03b37ed3a71dca,No data,No data,No data
121,604f7b57a8ff6195bc26d8d8,No data,No data,No data
122,604f8dc7a8ff6195bc26d9c1,No data,No data,No data
123,604f9cf0a8ff6195bc26da78,No data,No data,No data
124,604fa25b5080c72c84503fe5,No data,No data,No data
125,602b08211a03b37ed3a72045,No data,No data,No data
126,602aa7e91a03b37ed3a71e0c,No data,"6 Singleton Road Balwyn North, Victoria, 3104 Australia",Private Independent
127,604fb4985080c72c845040bf,www.randstad.com.au,"Level 9 , 83 Clarence Street Sydney, New South Wales, 2000 Australia ","Private Subsidiary, Headquarters"
128,602f21237ba8308c59e0f26c,www.anziif.com,"L 7 628 Bourke St Melbourne, Victoria, 3000 Australia","Private Parent, Headquarters"
129,604f8f47a8ff6195bc26d9cf,No data,No data,No data
130,604fa04d5080c72c84503fd0,No data,No data,No data
131,604f74fda8ff6195bc26d883,No data,No data,No data
132,604f9ae4a8ff6195bc26da5f,No data,No data,No data
133,604f98b1a8ff6195bc26da41,No data,No data,No data
134,604fdefa5080c72c8450431b,No data,No data,No data
135,604fe0435080c72c8450432f,No data,No data,No data
